"ReferenceID","LegalName","ReportingYear","FilingType","FilingStatus","MarketType","ProductName","ProposedRateIncrease","FinalRateIncrease","MemberAffected","DateEffective"
"BCCA-128930056","California Physicians' Service",2013,"Annual/Aggregate Filing","Completed","Individual","Aggregate Rate Filing Data Report","N/A","N/A","N/A","2012"
"CCOH-128951253","Contra Costa County Medical Services",2013,"Annual/Aggregate Filing","Completed","Small Group","California Annual Aggregate Rate Data Report Form","N/A","N/A","N/A","2012"
"AMMS-128937373","UnitedHealthcare of California, Inc.",2013,"Rate Filing","Not Unreasonable (Modified)","Individual","CA HMO","18.2","0.0","4506","07/01/2013"
"AETN-128955652","Aetna Health of California Inc.",2013,"Rate Filing","Completed","Small Group","Aetna SG AHI-CA 07012013","10.8","10.8","76441","07/01/2013"
"AWLP-128965566","Blue Cross of California",2013,"New Product Filing","Completed","Small Group","Select PPO Plans","New Products","New Products","","07/01/2013"
"WNHA-129003165","Western Health Advantage",2013,"Rate Filing","Completed","Small Group","WHA Small Group HMO","8.9","8.9","28483","07/01/2013"
"SHHP-129005624","Sharp Health Plan",2013,"Rate Filing","Completed","Small Group","California Choice 7.1.13 Rates","8.2","8.2","977","07/01/2013"
"KHPI-128947512","Kaiser Foundation Health Plan, Inc.",2013,"Rate Filing","Completed","Small Group","KFHP SBU HMO July 2013","6.1","6.1","291662","07/01/2013"
"BCCA-129039945","California Physicians' Service",2013,"New Product Filing","Completed","Individual","PPO Standard-Platinum,Gold ,Silver ,Silver %FPL,Bronze,Catastrophic ,Bronze HSA,Platinum HSA; EPO Standard-Platinum, Gold,Silver, Silver %FPL,Bronze,Catastrophic,Bronze HSA","New Products","New Products","","01/01/2014"
"MHCA-129037678","Molina Healthcare of California",2013,"New Product Filing","Completed","Individual","Molina Marketplace","New Products","New Products","","01/01/2014"
"AWLP-129043539","Blue Cross of California",2013,"New Product Filing","Completed","Individual","DMHC Individual On and Off Exchange","New Products","New Products","","01/01/2014"
"MISF-129043218","County of Ventura",2013,"New Product Filing","Completed","Individual","Ventura County Health Care Plan QHP FIling","New Products","New Products","","01/01/2014"
"WNHA-129043885","Western Health Advantage",2013,"New Product Filing","Completed","Individual","Covered CA - Individual","New Products","New Products","","01/01/2014"
"LACH-129044438","Local Initiative Health Authority for Los Angeles County",2013,"New Product Filing","Completed","Individual","QHP 2014","New Products","New Products","","01/01/2014"
"CCHP-129044782","Chinese Community Health Plan",2013,"New Product Filing","Completed","Individual","CCHP 2014 Individual Exchnge QHP Rates","New Products","New Products","","01/01/2014"
"HNLH-129042377","Health Net of California, Inc.",2013,"New Product Filing","Completed","Individual","IEX HMO Plans","New Products","New Products","","01/01/2014"
"SHHP-129044812","Sharp Health Plan",2013,"New Product Filing","Completed","Individual","Individual QHP 1.1.2014","New Products","New Products","","01/01/2014"
"CCOH-129043656","Contra Costa County Medical Services",2013,"New Product Filing","Completed","Individual","Individual","New Products","New Products","","01/01/2014"
"AAJP-129044213","Alameda Alliance For Health",2013,"New Product Filing","Completed","Individual","DMHC Individual On/Off Exchange","New Products","New Products","","01/01/2014"
"SCCO-129044835","Santa Clara County",2013,"New Product Filing","Completed","Individual","California Health Benefit Exchange Individual Product","New Products","New Products","","01/01/2014"
"UHLC-129046703","UHC of California",2013,"Rate Filing","Not Unreasonable (Modified)","Small Group","UHG CA HMO 201308-20130524","7.2","6.6","12,545","08/01/2013"
